16 0.203487
20 0.312
24 0.40406
28 0.49
32 0.546712
36 0.609377
40 0.651546
44 0.638
48 0.647574
52 0.676
56 0.69204
60 0.688746
64 0.664358
68 0.635682
72 0.663663
76 0.705074
80 0.737391
84 0.79084
88 0.842262
92 0.898962
96 0.9168
100 1.00252
104 1.03749
108 1.07445
112 1.09527
116 1.18188
120 1.22346
124 1.25467
128 1.22054
132 1.23885
136 1.31009
140 1.33997
144 1.3578
148 1.38307
152 1.3987
156 1.43833
160 1.43977
164 1.50188
168 1.51111
172 1.53677
176 1.55411
180 1.59819
184 1.60864
188 1.63428
192 1.59915
196 1.62737
200 1.64587
204 1.69768
208 1.7004
212 1.74336
216 1.76982
220 1.81495
224 1.8183
228 1.89982
232 1.93874
236 1.95228
240 1.97526
244 2.03011
248 2.08025
252 2.06828
256 1.9282
260 1.3281
264 1.31927
268 1.35336
272 1.3535
276 1.3879
280 1.39341
284 1.41423
288 1.37542
292 1.43734
296 1.45518
300 1.47291
304 1.4705
308 1.4967
312 1.50743
316 1.51917
320 1.46804
324 1.52488
328 1.54142
332 1.55914
336 1.5617
340 1.59304
344 1.60694
348 1.62812
352 1.60145
356 1.66527
360 1.67911
364 1.69933
368 1.71002
372 1.7352
376 1.76122
380 1.77682
384 1.67596
388 1.68537
392 1.69681
396 1.71829
400 1.70985
404 1.74724
408 1.75135
412 1.76629
416 1.76067
420 1.7967
424 1.81609
428 1.82932
432 1.84157
436 1.87698
440 1.87619
444 1.88047
448 1.86387
452 1.90469
456 1.90585
460 1.93636
464 1.94719
468 1.9583
472 1.98201
476 1.98989
480 1.98099
484 2.00911
488 2.03815
492 2.05742
496 2.05119
500 2.07064
504 2.08502
508 2.08338
512 1.58556
516 1.64117
520 1.64099
524 1.65047
528 1.6387
532 1.66368
536 1.6759
540 1.68116
544 1.65523
548 1.69385
552 1.71024
556 1.72706
560 1.71701
564 1.74457
568 1.75585
572 1.75135
576 1.691
580 1.76257
584 1.76039
588 1.77176
592 1.77823
596 1.80221
600 1.81386
604 1.82898
608 1.80063
612 1.84963
616 1.86054
620 1.87356
624 1.87537
628 1.88699
632 1.90611
636 1.90972
640 1.80983
644 1.84104
648 1.86643
652 1.86799
656 1.88057
660 1.88308
664 1.88722
668 1.90765
672 1.89519
676 1.93026
680 1.94211
684 1.9431
688 1.95852
692 1.96644
696 1.9801
700 1.98468
704 1.9525
708 2.00436
712 2.00703
716 2.0262
720 2.02264
724 2.04762
728 2.06317
732 2.05832
736 2.06248
740 2.07681
744 2.07642
748 2.097
752 2.11018
756 2.11541
760 2.13154
764 2.13014
768 1.93141
772 1.76121
776 1.77892
780 1.76424
784 1.75821
788 1.77043
792 1.79606
796 1.79044
800 1.76014
804 1.82113
808 1.82201
812 1.8324
816 1.80904
820 1.82481
824 1.84987
828 1.85078
832 1.80659
836 1.86109
840 1.88502
844 1.88819
848 1.88659
852 1.8974
856 1.90908
860 1.89912
864 1.90976
868 1.94352
872 1.95131
876 1.95044
880 1.95732
884 1.98041
888 1.98995
892 1.96695
896 1.85589
900 1.93855
904 1.94786
908 1.94741
912 1.93173
916 1.94462
920 1.96598
924 1.97097
928 1.95694
932 2.00331
936 2.013
940 2.01273
944 2.02081
948 2.03895
952 2.04721
956 2.02449
960 2.0018
964 2.04396
968 2.06805
972 2.07068
976 2.06632
980 2.07849
984 2.08504
988 2.10694
992 2.09348
996 2.11266
1000 2.11663
1100 1.92039
1200 2.00482
1300 1.87315
1400 2.02614
1500 2.08283
1600 1.83609
1700 2.04546
1800 1.89709
1900 2.01132
2000 2.06944
2100 1.92812
2200 2.05842
2300 2.07832
2400 1.91872
2500 2.05574
2600 1.81272
2700 1.91949
2800 2.01524
2900 1.98331
3000 2.08955
4000 1.98176
5000 2.03856
6000 2.03895
